# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,2.086287601146631,3.0060960121920246,0.34860060497184514,0,3.0,1.0484333153371737,0.0,0.0,0.007308050952026776
 0.08909925354884016,2.0981953962172795,3.0061684628301464,0.34860060497184514,0.26729776064652055,3.000000000000001,1.0484333153371737,0.0006511418847224764,19.488795857785345,0.05362640948628798
 0.1255238967428822,2.109919752778258,3.0063850813559276,1.0584730403732008,0.37657169022864667,3.0,1.0894609795248238,0.002604464716038107,26.29456596735415,0.11783072303942713
 0.15314992874559138,2.1214621278531154,3.006744767686491,1.7848875612846744,0.45944978623677424,3.0,1.1318563505066734,0.005859660041627684,32.28193622680945,0.19791442819179997
 0.17617277669263748,2.1328239784654017,3.00724642173896,2.5281096704707475,0.5285183300779125,2.9999999999999987,1.1756188053275334,0.010416213828414067,37.91461807103976,0.29209391917396804
 0.19622520617108377,2.1440067616386664,3.0078889434304585,3.2883898755424976,0.5886756185132513,2.9999999999999987,1.2207407648250526,0.016273406543733052,43.3830296541722,0.39930516762063034
 0.21414860738291835,2.155011934396459,3.0086712326781093,4.0659613218191435,0.6424458221487551,3.0000000000000013,1.2672068625314554,0.02343031326895647,48.787586783378686,0.5188472639461659
 0.23044529267770156,2.165840953762329,3.0095921893990347,4.86103726991979,0.6913358780331047,2.9999999999999982,1.3149930817433018,0.03188580384554645,54.18847835143838,0.6502274297017195
 0.2454442588278223,2.176495276759825,3.01065071351036,5.673808422439564,0.736332776483467,3.0,1.3640658694422974,0.04163854305352256,59.62455847243527,0.7930817380469292
 0.2593752917072224,2.1869763604124977,3.0118457049292067,6.504440106938774,0.7781258751216672,2.9999999999999982,1.414381239045649,0.0526869908223061,65.12194329291508,0.9471295749984191
 0.27240667830670684,2.1972856617438956,3.0131760635726987,7.353069326098454,0.8172200349201206,3.0000000000000084,1.465883874839647,0.06502940247391589,70.6984018932338,1.1121451178991282
 0.28466625334338563,2.2074246377775686,3.0146406893579596,8.219801689081827,0.8539987600301571,3.0000000000000044,1.5185062556503692,0.07866382899847624,76.36578254332677,1.2879382065553402
 0.2962539896862818,2.2173947455370664,3.016238482202112,9.10470824281284,0.8887619690588455,2.999999999999995,1.5721678160697596,0.09358811736198207,82.13142890221465,1.474340768531583
 0.30724995061359006,2.227197442045939,3.01796834202228,10.007822225925588,0.9217498518407703,3.0,1.6267741677322165,0.10979991084629298,87.99903866171385,1.6711967160305226
 0.3177195371123903,2.2368341843277344,3.0198291687355856,10.92913577300567,0.9531586113371711,3.0,1.682216405007508,0.12729664942128546,93.96919781072486,1.8783541180629106
 0.32771707727121263,2.246306429406003,3.0218198622591537,11.86859660181071,0.9831512318136381,3.0000000000000058,1.7383705217909053,0.14607557014910869,100.03971922689182,2.0956589304845155
 0.33728835682419955,2.255615634304294,3.0239393225101057,12.82610472093361,1.0118650704725989,3.0000000000000058,1.7950969688460714,0.16613370762048957,106.2058611285483,2.322949840230847
 0.3464724495811868,2.2647632560461566,3.0261864494055666,13.801509200873905,1.0394173487435605,2.999999999999994,1.8522403810824448,0.18746789442299833,112.46047211708186,2.5600539442470214
 0.3553030710097041,2.2737507516551414,3.0285601428626583,14.794605055812182,1.0659092130291123,2.9999999999999876,1.909629506651425,0.21007476164122635,118.79409343800606,2.8067830861143466
 0.36380959859484757,2.2825795781547966,3.0310593027985053,15.805130288594691,1.0914287957845428,3.0,1.9670773672455448,0.23395073938877217,125.19503937337895,3.062930739599884
 0.3720178540601611,2.2912511925686725,3.0336828291302296,16.83276315476137,1.1160535621804835,3.0000000000000204,2.0243816800508903,0.25909205737196966,131.64947092680973,3.32826937228647
 0.37995071199922703,2.2997670519203175,3.0364296217749556,17.877119705376945,1.1398521359976814,3.000000000000014,2.0813255662740677,0.28549474548526244,138.1414739896579,3.60254825204383
 0.3876285797244335,2.3081286132332828,3.039298580649806,18.937751670034586,1.1628857391733007,2.999999999999993,2.1376785698219836,0.3131546344381287,143.6889486737496,3.859592492902002
 0.3951197130574216,2.3163373335311164,3.0422886056719043,20.01414474302653,1.1695578456512725,0.8906671636173326,2.1931980014524344,0.3420673564134576,146.91715511385098,4.05943386955387
 0.4025495641925849,2.3243946698373685,3.0453985967583734,21.10571733472414,1.1553090025499095,-1.9177831213774093,2.2476306185356614,0.3722283457572828,148.74623107495404,4.223207211415448
 0.40998573589109416,2.332302079175588,3.0486274538263367,22.21181984850363,1.1419030929839054,-1.8027972066179854,2.3007146405716035,0.4036328396997505,150.51041817034618,4.387046220242708
 0.4174265144397317,2.3400610185693256,3.0519740767929173,23.33173453937201,1.1293411627933403,-1.6882548121076937,2.352182091373131,0.43627587910721394,152.2032927387757,4.551077327444013
 0.4248701212432998,2.347672945042129,3.055437365575239,24.464676004727824,1.1176239315285585,-1.5741335583665022,2.401761447377554,0.4701523092653407,153.81849004342482,4.715430718159179
 0.43231471613313077,2.3551393156175493,3.0590162200904247,25.60979234966662,1.1067517707385186,-1.4604099955648242,2.44918056053154,0.5052567806931004,155.34976223283255,4.880239938079799
 0.43975840122962734,2.3624615873191352,3.0627095402555975,26.76616705954344,1.0967246837894098,-1.3470595302087864,2.4941698114859068,0.5415837499875124,156.7910385373293,5.04564146588571
